Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,,Version Booster,Booster landing,Date,Time
F9 v1.0B0003.1,,F9 v1.0B0003.1,F9 v1.0B0003.1,F9 v1.0B0003.1,F9 v1.0B0003.1,SpaceX,F9 v1.0B0003.1,,F9 v1.0B0003.1,F9 v1.0B0003.1,F9 v1.0B0003.1,F9 v1.0B0003.1
F9 v1.0B0003.1,,F9 v1.0B0004.1,F9 v1.0B0004.1,F9 v1.0B0004.1,F9 v1.0B0004.1,NASA,F9 v1.0B0004.1,,F9 v1.0B0003.1,F9 v1.0B0004.1,F9 v1.0B0003.1,F9 v1.0B0003.1
F9 v1.0B0003.1,,F9 v1.0B0005.1,F9 v1.0B0005.1,F9 v1.0B0005.1,F9 v1.0B0005.1,NASA,F9 v1.0B0005.1,,F9 v1.0B0004.1,F9 v1.0B0005.1,F9 v1.0B0003.1,F9 v1.0B0003.1
F9 v1.0B0003.1,,F9 v1.0B0006.1,F9 v1.0B0006.1,F9 v1.0B0006.1,F9 v1.0B0006.1,NASA,F9 v1.0B0006.1,,F9 v1.0B0005.1,F9 v1.0B0006.1,F9 v1.0B0003.1,F9 v1.0B0003.1
F9 v1.0B0003.1,,F9 v1.0B0007.1,F9 v1.0B0007.1,F9 v1.0B0007.1,F9 v1.0B0007.1,NASA,F9 v1.0B0007.1,,F9 v1.0B0006.1,F9 v1.0B0007.1,F9 v1.0B0003.1,F9 v1.0B0004.1
F9 v1.0B0003.1,,F9 v1.1B1003,F9 v1.1B1003,F9 v1.1B1003,F9 v1.1B1003,MDA,F9 v1.1B1003,,F9 v1.0B0007.1,F9 v1.1B1003,F9 v1.0B0004.1,F9 v1.0B0005.1
F9 v1.0B0004.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,SES,F9 v1.1,,F9 v1.1B1003,F9 v1.1,F9 v1.0B0005.1,F9 v1.0B0006.1
F9 v1.0B0005.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,Thaicom,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.0B0006.1,F9 v1.0B0007.1
F9 v1.0B0006.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,NASA,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.0B0007.1,F9 v1.1B1003
F9 v1.0B0007.1,,F9 v1.1,F9 v1.1,F9 v1.1,F9 v1.1,Orbcomm,F9 v1.1,,F9 v1.1,F9 v1.1,F9 v1.1B1003,F9 v1.1
